clean_review,sentiment,dominant_topic
powerful tablet purchased black fridaypros great price even sale powerful fast quad core processors amazing soundwell builtcons amazon ads amazon need subsidize tablet remove adds pay inability access apps except ones amazon way able accomplish add google play storenet great tablet money,Positive,0
amazon echo plus awesome purchased two amazon echo plus two dots plus four fire sticks hub philips hue lamp family christmas happy purchases learning much alexa start daily routine alexa program whatever would like include news weather music horoscope also start day compliment think important alexa gave best chili recipe mean best called chili want husband use alexa stay organized business dates reminders way go,Positive,1
average average alexa option show things screen still limited,Neutral,1
greattttttt good product exactly wanted good price,Positive,0
durable rd one purchased bought one nieces case compares one held protected tablet many times dropping,Positive,0
love great product light weight wish wifi download online,Positive,1
ok entry level tablet year old daughter saved brother bought gb year earlier new needed space os bit clunky less intuitive higher priced tablets tough beat price speed great web certain gaming apps fine books parental controls helpful take time figure require steps seem necessary change overall ok first tablet kids considering price adults fine e books basic apps otherwise best pay better quality os efficiency,Neutral,0
great kids smaller needs purchased son room upgrade memory allow books games speakers could better located better position,Positive,1
great tablet bought mom needed great price wanting get ipad think might great less expensive option well,Positive,1
cheap run chrome stuff returned cheap run chrome stuff returned store,Negative,2
great tablet got tablet replace sons old one love adult child profile ability year replacement warranty case also came handy many times,Positive,0
works great great product kids gaming apps parental controls make sure monitor kids prevent unwanted app purchases,Positive,1
great pad children adults love choice colors two kindles purchased gift,Positive,4
love amazon hd replaces fire kindle love hd quality,Positive,1
awesome bought replace children aging ipads happy,Positive,4
great tablet great purchase love fact download tv movies watch line easy set,Positive,1
good surprisingly useful ben echo much better gen definitely recommend,Positive,0
good good old kindle seams work better,Neutral,0
works great got model sale price built hub controls hue strip lights want say google time sounds like baby talk lol,Positive,1
simple powerful little hesitant spend money get glad alexa always answers say commands noticed probably right command given love fact see things screen news briefings picture video nice also love video call option planning getting one grandma technologically advanced could sit table talk grandkids worth every penny,Positive,1
great experience exceeds expectaton alexa exceed expectations ability control,Positive,1
great tablet great tablet grandkids love great item,Positive,1
great tablet amazon prime almost must keeps amazon stuff one place,Positive,0
download audio books small enough carry purse open whole new world waiting appointments,Positive,0
great product requires amazon membership want listen music sign amazon unlimited prime expensive pandora work well device google home,Positive,1
great every day tablet gift mom enjoys easy use good picture sound quality price also great,Positive,1
bought son loves kindle easier viewing light adjustment great,Positive,1
love wanted tablet would fit purse easy use would buy,Positive,1
love grandkids took immediately grand kids love picked network short order like idea ipad like adults well implemented,Positive,1
good setup enable voice control good setup enable voice control ios unclear,Positive,0
love new connected home equipment got wife kitchen thing wish different would amazon show would communicate directly facetime rather someone download alexa app deal breaker means though love,Positive,1
like lot use alot play music instead running tv dog go somewhere use lot things,Positive,1
love easy set easy use apps awesome sounds great,Positive,1
great cheap tablet great tablet basic needs internet video streaming games books dont need ipad get one,Positive,0
solid tablet potential like tablet everything want however apps within need updated often happened would top ipad mini gives enough need hd good deal,Positive,0
awesome worked better expected highly recommend echo show,Positive,1
great product great sound quality easy set easy use looks good,Positive,1
fabulous easy tablet tablet quick good ipad use tablet specifically one aspect life performs great pleasantly surprised performance,Positive,0
great assistant amazon echo show great help daily rutine asking simple things like weather specific things like flash briefings traffic commute echo show great tool tech enthusiast,Positive,1
need meet needs plus recommend buy good stylus pen time,Positive,0
great tablet great tablet amazing storage use mine daily great reading surfing web games one small thing like amazon prime shows bit dark reason hulu netflix work wonderful,Positive,0
user friendly good tablet comes lot free apps fantastic warranty,Positive,0
endless possibilities use office personal assistant home,Positive,1
loved tech totally friendly cost worth investment,Positive,3
nice alternative echo tap essentially smaller version echo alexa capability like echo also doubles portable bluetooth speaker need tap ask alexa anything otherwise works echo prefer echo tap great college students want supplement echo,Positive,1
great awesome product says looks great,Positive,1
